id,name
1215942,Fred Newman
1226069,Dusty Springfield
12094,Jennifer Saunders
5539,Dawn French
4286,Emma de Caunes
72254,Éric Caravaca
94067,Alexis Loret
96074,Leslie Feist
1665140,Adam Cohen
120608,Sonia Manzano
1596910,Nitya Vidyasagar
24045,Joseph Gordon-Levitt
1400290,Alan Gorrie
1400293,Onnie McIntyre
18632,Brigid Berlin
96082,Yōko Ono
2030027,Arthur Janov
2033613,Vivian Janov
1505155,John La Briola
91431,Timothy Leary
1046088,Ed Emshwiller
2590245,Franz Fuenstler
146964,Kenneth Anger
1171032,Adolfo Arrieta
1190206,Donatas Banionis
22861,Carl Perkins
40176,Art Carney
16866,Jennifer Lopez
111455,Katy Perry
1103603,Ben Small
220908,Steve Lukather
1400795,Richard Page
76141,Dr. John
77943,Joe Walsh
340927,Teresa Gallagher
1237916,Marc Bolan
9188,Billy Connolly
1923,Robbie Coltrane
477,Julie Walters
29859,Richard Briers
15831,Frank Welker
1754138,Ken Barrie
103616,Mae West
11152,Margaret Cho
142190,Dita Von Teese
97884,John Gordon Sinclair
1797181,John Field
1797182,Fred Frith
117555,Nigel Planer
1207229,Robert Wyatt
141317,Luciano Pavarotti
16165,Jon Lovitz
34902,Jane Horrocks
142750,Jason Orange
142751,Mark Owen
226001,Ariana Grande
76594,Miley Cyrus
1059011,Marcus Mumford
1164263,Gary Barlow
142752,Howard Donald
29704,Geoffrey Moore
1913149,Ambra Moore
15344,J.J. Abrams
39658,Sally Hawkins
10168,Diana Rigg
974,Dexter Fletcher
975,Nick Moran
1428,Mick Jagger
118421,Jack Bruce
118422,Ginger Baker
22860,Chuck Berry
1430,Keith Richards
1171675,Ingrid Berry
100194,Andy Fairweather-Low
109800,Nathan East
44999,B.B. King
95486,Stevie Ray Vaughan
85930,John Mayer
90388,Steve Jordan
90389,Pino Palladino
592587,Joe Bonamassa
107209,Doyle Bramhall II
184306,Beth Hart
1228004,George Thorogood
110023,Daryl Stuermer
109804,Ricky Lawson
22645,Chester Thompson
110066,Tony Banks
110067,Mike Rutherford
39624,Peter Gabriel
231519,Steve Hackett
185013,Mike Stevens
1690001,Marcus Byrne
932051,Bev Bevan
932058,Mik Kaminski
61011,Clarke Peters
1352367,Alex Orbison
1352368,Roy Orbison Jr.
86390,John Sebastian
86385,Richie Havens
1120068,Country Joe McDonald
1072976,Derrick Parker
1073001,Game
111402,Richie Sambora
111404,David Bryan
1452827,Hugh McDonald
111403,Tico Torres
1160640,Rob Affuso
191275,Sebastian Bach
1160641,Rachel Bolan
5621,John Farley
5620,Kevin Farley
1070443,Rob Bourdon
2209240,Twiggy Ramirez
141289,John 5
2426776,Zsa Zsa Speck
1045540,Olivia Newton Bundy
9316,Jeordie White
80892,Madonna Wayne Gacy
80894,Zim Zum
1088666,Till Lindemann
1515687,Richard Kruspe
1515688,Paul Landers
39121,Richard Melville Hall
16450,Sean Combs
1100780,Dj Kid Capri
561869,Amandla Stenberg
62649,Russell Hornsby
558928,Max Charles
212184,Joshua Rush
65640,Khary Payton
235995,Nate Mendel
235996,Chris Shiflett
92563,Kurt Cobain
95076,Krist Novoselic
236082,Taylor Hawkins
91478,John Paul Jones
143470,Joshua Homme
64809,Billy Corgan
548398,Shirley Manson
1206713,Nick Oliveri
92569,Pat Smear
101813,Mark Arm
3186,Trent Reznor
89799,Jello Biafra
43120,Andy Dick
53926,Jon Heder
23659,Will Ferrell
1178812,Andrew Bowser
22125,Jimmi Simpson
18472,Kevin Corrigan
91609,Joe Rogan
